text,label
"Government announces new education reform policy to improve rural schools.",REAL
"Scientists discover a new method to recycle plastic more efficiently.",REAL
"Local hospital successfully performs rare heart surgery on a child.",REAL
"City council approves funding for new public transportation system.",REAL
"Researchers develop vaccine showing promising results in early trials.",REAL
"Breaking: Aliens have secretly taken control of global governments.",FAKE
"Miracle herb cures all diseases instantly, doctors shocked.",FAKE
"Celebrity claims drinking only lemon water can reverse aging.",FAKE
"Secret underground city found beneath the pyramids in Egypt.",FAKE
"Government hiding evidence of time travel experiments.",FAKE
"Study reveals daily exercise significantly improves mental health.",REAL
"University launches scholarship program for low-income students.",REAL
"Man claims he built a perpetual motion machine in his garage.",FAKE
"Experts warn about misinformation spreading rapidly on social media.",REAL
"Internet rumor says the moon will disappear for two days next week.",FAKE