v1,v2
ham,Hey are we meeting today?
ham,Can you send me the notes from class?
spam,Congratulations! You have won a $1000 Walmart gift card. Click here to claim now.
ham,I will call you later in the evening.
spam,URGENT! Your account has been compromised. Verify immediately.
ham,Don't forget to bring the book tomorrow.
spam,You have been selected for a free vacation to Maldives. Reply YES now.
ham,Let's go for lunch after the lecture.
spam,Win cash prizes now!!! Visit www.winbig.com
ham,Are you coming to the lab session today?
spam,Claim your free mobile recharge by clicking this link.
ham,Please review the assignment before submission.
spam,Limited time offer! Buy one get one free. Shop now.
ham,I will send the project files tonight.
spam,You have won a lottery of $500000. Contact immediately.